Period,Sub_Period,forecast,forecast_high_95,forecast_high_80,forecast_low_80,forecast_low_95
2016,1,21136641.7817753,23208185.0286837,22491151.1054718,19782132.4580788,19065098.5348669
2016,2,20507039.1238402,22880476.5754324,22058946.4577517,18955131.7899287,18133601.6722481
2016,3,23506565.9823547,26405361.0618843,25401986.2052094,21611145.7594999,20607770.902825
2016,4,22208405.7551534,25340024.3431487,24256061.0874915,20160750.4228154,19076787.1671581
2016,5,25380147.7719632,28988615.8847204,27739598.2494203,23020697.2945062,21771679.6592061
2016,6,25966799.4651126,29918337.6617341,28550571.4130333,23383027.5171919,22015261.2684912
2016,7,26113792.5651164,30368443.2827051,28895759.1374516,23331825.9927812,21859141.8475277
2016,8,22899285.7691163,27261865.6231161,25751823.4105254,20046748.1277072,18536705.9151165
2016,9,20499583.9082264,24962248.504876,23417563.4453243,17581604.3711286,16036919.3115769
2016,10,19971242.8207044,24578175.8382004,22983554.4078056,16958931.2336031,15364309.8032083
2016,11,20602665.9169652,25388988.3176881,23732273.917026,17473057.9169043,15816343.5162422
2016,12,21073222.0818537,26036030.7076618,24318228.2217982,17828215.9419092,16110413.4560456
