Period,Sub_Period,forecast,forecast_high_95,forecast_high_80,forecast_low_80,forecast_low_95
2016,1,222739.452787674,246246.520569491,238109.898242171,207369.007333177,199232.385005856
2016,2,217492.024352832,244747.623622563,235313.502803201,199670.545902464,190236.425083102
2016,3,252362.186198559,286000.71248008,274357.236290672,230367.136106445,218723.659917038
2016,4,232539.723831949,268626.608477081,256135.669409209,208943.77825469,196452.839186818
2016,5,271768.398472535,313706.933301141,299190.532445502,244346.264499569,229829.863643929
2016,6,279249.802072638,325373.463889965,309408.44349508,249091.160650196,233126.140255312
2016,7,282456.513508208,332340.422798804,315073.848597582,249839.178418833,232572.604217611
2016,8,242342.533703425,293363.219836477,275703.167217472,208981.900189377,191321.847570372
2016,9,214754.399148877,266913.481771196,248859.390117724,180649.408180031,162595.316526559
2016,10,209078.991305442,262903.494996096,244272.94257879,173885.040032093,155254.487614787
2016,11,218187.814457127,274165.308726389,254789.530601861,181586.098312393,162210.320187865
2016,12,227137.056485498,285344.923714408,265197.135120937,189076.977850059,168929.189256587
