Cluster,Month,Year,Total_Produce_Sales,Total_no_of_Clusters,Avg_Produce_Sales_Per_Cluster
1,03,2012,7097393.59,23,308582.33
2,03,2012,8716339.67,29,300563.436896552
3,03,2012,9337792.58,33,282963.411515152
1,04,2012,6901883.17,23,300081.876956522
2,04,2012,8638742.98,29,297887.688965517
3,04,2012,8865422.23999999,33,268649.158787879
1,05,2012,7973204.69,23,346661.073478261
2,05,2012,9903254.78,29,341491.544137931
3,05,2012,10373079.54,33,314335.743636363
1,06,2012,8150590.53000001,23,354373.501304348
2,06,2012,9827221.14,29,338869.694482758
3,06,2012,10713552.65,33,324653.11060606
1,07,2012,8210616.89000001,23,356983.343043479
2,07,2012,9850209.18,29,339662.385517241
3,07,2012,10474881.38,33,317420.647878788
1,08,2012,7267021.7,23,315957.465217391
2,08,2012,9219491.64,29,317913.504827586
3,08,2012,9307007.30000001,33,282030.524242425
1,09,2012,6144595.01,23,267156.304782609
2,09,2012,7944493.00999999,29,273948.034827586
3,09,2012,7826553.64,33,237168.292121212
1,10,2012,5984157.63,23,260180.766521739
2,10,2012,7612268.64999999,29,262492.022413793
3,10,2012,7607136.24,33,230519.28
1,11,2012,6167712.99,23,268161.434347826
2,11,2012,7665710.49,29,264334.844482759
3,11,2012,7902735.48000001,33,239476.832727273
1,12,2012,6251130.67999999,23,271788.290434782
2,12,2012,7595772.77999999,29,261923.199310344
3,12,2012,8116073.28999999,33,245941.614848485
1,01,2013,5946245.58,23,258532.416521739
2,01,2013,7237428.83,29,249566.51137931
3,01,2013,7139009.23,33,216333.613030303
1,02,2013,5785579.76,23,251546.946086956
2,02,2013,6970519.16,29,240362.729655173
3,02,2013,7073521.83000001,33,214349.146363637
1,03,2013,6609159.72,23,287354.770434783
2,03,2013,7889358.4,29,272046.84137931
3,03,2013,8218551.73,33,249047.022121212
1,04,2013,6296712.74,23,273770.119130435
2,04,2013,7647124.41,29,263693.945172414
3,04,2013,7681547.89000001,33,232774.178484849
1,05,2013,6562566.66,23,285328.985217391
2,05,2013,8037598.79000001,29,277158.578965517
3,05,2013,8399986.95000001,33,254545.059090909
1,06,2013,7025213.04000001,23,305444.045217392
2,06,2013,8638037.12000001,29,297863.348965518
3,06,2013,9092156.04,33,275519.88
1,07,2013,7586968.98,23,329868.216521739
2,07,2013,9359350.67999999,29,322736.230344827
3,07,2013,9856785.89999999,33,298690.481818182
1,08,2013,6380928.38,23,277431.668695652
2,08,2013,8019240.06,29,276525.519310345
3,08,2013,8200048.57,33,248486.32030303
1,09,2013,6000900.29,23,260908.70826087
2,09,2013,7694622.84999999,29,265331.822413793
3,09,2013,7705742.60000001,33,233507.351515152
1,10,2013,5254448.05,23,228454.263043478
2,10,2013,7149913.88,29,246548.754482758
3,10,2013,6892216.16,33,208855.035151515
1,11,2013,5639121.87999999,23,245179.212173913
2,11,2013,7455554.42,29,257088.083448276
3,11,2013,7395097.19000001,33,224093.854242424
1,12,2013,6212193.29,23,270095.360434783
2,12,2013,7604295.69,29,262217.092758621
3,12,2013,7899217.69,33,239370.233030303
1,01,2014,6265630.35,23,272418.710869565
2,01,2014,8243173.43,29,284247.359655172
3,01,2014,8035654.6,33,243504.684848485
1,02,2014,5940038.15,23,258262.52826087
2,02,2014,7743641.17,29,267022.109310345
3,02,2014,7578733.8,33,229658.6
1,03,2014,6519395.34000002,23,283451.971304349
2,03,2014,8365307.45,29,288458.877586207
3,03,2014,8362465.82999999,33,253408.055454545
1,04,2014,6352278.42,23,276186.018260869
2,04,2014,8217595.17999999,29,283365.351034483
3,04,2014,7972114.31999999,33,241579.221818181
1,05,2014,7279446.81000001,23,316497.687391305
2,05,2014,9333458.52,29,321843.397241379
3,05,2014,9330141.42,33,282731.558181818
1,06,2014,6879398.69,23,299104.290869565
2,06,2014,9082466.29000002,29,313188.492758622
3,06,2014,8820313.45,33,267282.225757576
1,07,2014,6726644.08,23,292462.786086957
2,07,2014,8851165.12999999,29,305212.590689655
3,07,2014,8685308.38,33,263191.163030303
1,08,2014,6032836.1,23,262297.22173913
2,08,2014,8151931.67999999,29,281101.092413793
3,08,2014,7695221.08,33,233188.517575758
1,09,2014,4959354.91,23,215624.126521739
2,09,2014,7033809.37,29,242545.150689655
3,09,2014,6414099.3,33,194366.645454545
1,10,2014,5304126.79,23,230614.20826087
2,10,2014,7389155.48000001,29,254798.464827587
3,10,2014,6804289.68,33,206190.596363636
1,11,2014,5310074.13,23,230872.78826087
2,11,2014,7340032.98,29,253104.585517241
3,11,2014,6794646.06,33,205898.365454546
1,12,2014,5316951.59999999,23,231171.808695652
2,12,2014,7062538.21000001,29,243535.800344828
3,12,2014,6860894.94000001,33,207905.907272728
1,01,2015,5657129.29999999,23,245962.143478261
2,01,2015,7265861.48,29,250546.947586207
3,01,2015,7165538.51,33,217137.530606061
1,02,2015,5575935.73,23,242431.988260869
2,02,2015,7129056.67999999,29,245829.540689655
3,02,2015,7067340.93000001,33,214161.846363637
1,03,2015,7006278.34,23,304620.797391304
2,03,2015,8773119.87,29,302521.374827586
3,03,2015,8829008.50000001,33,267545.712121212
1,04,2015,6102552.22,23,265328.357391304
2,04,2015,8022338.82999999,29,276632.373448276
3,04,2015,7434838.40000001,33,225298.133333334
1,05,2015,7247841.19,23,315123.53
2,05,2015,9450257.08000001,29,325870.933793104
3,05,2015,9093976.31999999,33,275575.04
1,06,2015,7689836.25,23,334340.706521739
2,06,2015,9990525.51000001,29,344500.879655173
3,06,2015,9532102.39,33,288851.587575758
1,07,2015,7371275.32,23,320490.231304348
2,07,2015,9721515.03,29,335224.656206897
3,07,2015,9245686.79999999,33,280172.327272727
1,08,2015,6507804.64,23,282948.027826087
2,08,2015,8514224.14000001,29,293593.935862069
3,08,2015,8108597.82,33,245715.085454545
1,09,2015,5785261.25,23,251533.097826087
2,09,2015,7800016.24000001,29,268966.07724138
3,09,2015,7189138.44,33,217852.68
1,10,2015,5633291.91,23,244925.735217391
2,10,2015,7541868.49,29,260064.430689655
3,10,2015,7184820.18,33,217721.823636364
1,11,2015,6106021.79,23,265479.20826087
2,11,2015,8176741.13,29,281956.590689655
3,11,2015,7654143.88999999,33,231943.754242424
1,12,2015,5742703.26,23,249682.750434783
2,12,2015,7443471.48000001,29,256671.430344828
3,12,2015,7276724.56000001,33,220506.804848485
